Title,Size,date added to alvro,type
Ant General.rar,11.48 MB,2014-12-27 16:12,XBLIG
Ant Mission.rar,13.35 MB,2014-12-27 16:12,XBLIG
Anti-aircraft Warfare.rar,12.13 MB,2014-12-27 16:12,XBLIG
Antibody 3D.rar,21.73 MB,2014-12-27 16:12,XBLIG
Antigrav Racing Championship.rar,84.99 MB,2014-12-27 16:12,XBLIG
Antipole.rar,38.03 MB,2014-12-27 16:12,XBLIG
Apache Air Assault [PAL][NTSCU].rar,7.52 GB,2015-03-05 18:03,x360 ISO
Apex.rar,14.79 MB,2014-12-27 16:12,XBLIG
Aphelion 2.rar,131.78 MB,2014-12-27 16:12,XBLIG
Aphelion.rar,118.26 MB,2014-12-27 16:12,XBLIG
Apocalypse Desire Next [NTSCJ].iso,7.30 GB,2018-12-23 10:12,x360 ISO
Apple Jack 2.rar,84.47 MB,2014-12-27 16:12,XBLIG
Apple Jack.rar,43.82 MB,2014-12-27 16:12,XBLIG
Apple Orchard Math.rar,5.81 MB,2014-12-27 16:12,XBLIG
Apples to Apples.rar,92.45 MB,2014-12-18 3:12,XBLA
AppPack 2.0.rar,47.88 MB,2014-12-27 16:12,XBLIG
AppPack.rar,54.63 MB,2014-12-27 16:12,XBLIG
Aqua.rar,389.21 MB,2014-12-18 3:12,XBLA
Aqualibrium.rar,9.61 MB,2014-12-27 16:12,XBLIG
Aquarium HD.rar,24 MB,2014-12-27 16:12,XBLIG
Arbor Vitae.rar,17.96 MB,2014-12-27 16:12,XBLIG
Arc Lancer.rar,37.11 MB,2014-12-27 16:12,XBLIG
ARC Ninja Edition.rar,46.72 MB,2014-12-27 16:12,XBLIG
ARC Viking Edition.rar,52.69 MB,2014-12-27 16:12,XBLIG
Arcade of Neon.rar,19.58 MB,2014-12-27 16:12,XBLIG
Arcade Snake.rar,5.28 MB,2014-12-27 16:12,XBLIG
Arcadecraft.rar,77.59 MB,2014-12-27 16:12,XBLIG
Arcana Heart 3 [PAL].iso,7.30 GB,2015-07-14 2:07,x360 ISO
Arcane Brawlers.rar,167.27 MB,2014-12-27 16:12,XBLIG
Arcania Gothic 4 The Complete Tale [RF].iso,8.14 GB,2015-06-08 9:06,x360 ISO
"ArchRobo, Robotic Annihilation.rar",26.63 MB,2014-12-27 16:12,XBLIG
Arctic Ball Grind.rar,31.32 MB,2014-12-27 16:12,XBLIG
Are you fast enough.rar,3.37 MB,2014-12-27 16:12,XBLIG
Are You Smart Enough.rar,26.26 MB,2014-12-27 16:12,XBLIG
Are You Smarter than a 5th Grader Game Time [NTSCU].iso,7.30 GB,2015-07-14 2:07,x360 ISO
Arena of Fire.rar,607.21 KB,2014-12-27 16:12,XBLIG
Argh Aliens.rar,10.25 MB,2014-12-27 16:12,XBLIG
Aria.rar,12.05 MB,2014-12-27 16:12,XBLIG
Arkadian Warriors.rar,105.77 MB,2014-12-18 3:12,XBLA
Arkanoid Live.rar,138.98 MB,2014-12-18 3:12,XBLA
Arkedo Series - 01 JUMP!.rar,16.61 MB,2014-12-27 16:12,XBLIG
Arkedo Series - 02 SWAP!.rar,28.55 MB,2014-12-27 16:12,XBLIG
Arkedo Series - 03 PIXEL!.rar,39.91 MB,2014-12-27 16:12,XBLIG
ArkX.rar,51.07 MB,2014-12-27 16:12,XBLIG
Armor Valley.rar,89.38 MB,2014-12-27 16:12,XBLIG
Armored Core 4 [NTSCU].iso,7.30 GB,2015-07-14 3:07,x360 ISO
Armored Core 4 [PAL].iso,7.30 GB,2015-07-14 3:07,x360 ISO
Armored Core for Answer [PAL][NTSCU].iso,7.30 GB,2015-07-14 4:07,x360 ISO
Armored Core V [NTSCU].iso,7.30 GB,2015-07-14 4:07,x360 ISO
Armored Core V [PAL].iso,7.30 GB,2015-07-14 5:07,x360 ISO
Armored Core Verdict Day [RF].iso,7.30 GB,2015-07-14 5:07,x360 ISO
Army of Two [NTSCU].iso,7.30 GB,2015-09-17 15:09,x360 ISO
Army Of Two [PAL].rar,7.52 GB,2015-03-07 14:03,x360 ISO
Army of Two the 40th Day [RF].rar,7.52 GB,2015-03-07 15:03,x360 ISO
Army of Two the Devil Cartel [RF].rar,8.38 GB,2015-03-07 17:03,x360 ISO
