Alchemic Jousts [0100F5400AB6C000][v0].nsp,339.29 MB,2019-01-11 11:01,NSW NSP Games
Alchemist's Castle [010001E00F75A000][v0].nsp,146.32 MB,2019-10-18 19:10,NSW NSP Games
Alien Cruise eSHOP [0100A2E00D0E0000][v0].nsp,2.57 GB,2019-03-23 15:03,NSW NSP Games
Alien Escape [0100C1500DBDE000][v0].nsp,65.14 MB,2019-07-21 12:07,NSW NSP Games
Alien Escape [0100C1500DBDE000][v0].nsp,65.14 MB,2019-07-13 15:07,NSW NSP Games
All-Star Fruit Racing [0100C1F00A9B8000][v0].nsp,3.19 GB,2019-01-11 11:01,NSW NSP Games
Almightree The Last Dreamer [010063000C3CE000][v0].nsp,222.14 MB,2019-01-11 11:01,NSW NSP Games
Almost There The Platformer ESHOP [01009C400C88C000][v0].nsp,217.77 MB,2019-02-21 10:02,NSW NSP Games
Alpha eSHOP [01000A800B998000][v0].nsp,257.31 MB,2019-04-21 11:04,NSW NSP Games
Alteric [01004DB00935A000][v0].nsp,110.35 MB,2019-01-11 11:01,NSW NSP Games
Alternate Jake Hunter DAEDALUS The Awakening of Golden Jazz [0100C3D00D1D4000][v0].nsp,2.42 GB,2019-05-28 20:05,NSW NSP Games
Alvastia Chronicles eSHOP [0100F0700CD8E000][v0].nsp,53.49 MB,2019-02-17 10:02,NSW NSP Games
Alwa's Awakening [01004C200B0B4000][v0].nsp.zip,220.88 MB,2019-01-11 12:01,NSW NSP Games
Ambition of the Slimes [0100A620083DA000][v0].nsp,48.36 MB,2019-01-11 11:01,NSW NSP Games
Amnesia Collection [01003CC00D0BE000][v0].nsp,5.27 GB,2019-09-16 19:09,NSW NSP Games
Amnesia Collection[01003CC00D0BE800][US][v131072].nsp,42.82 MB,2019-09-16 19:09,NSW NSP Games
Anarcute [010050900E1C6000][v0].nsp,1.45 GB,2019-06-01 10:06,NSW NSP Games
Ancient Rush 2 [010021700BC56000][v0].nsp,2.32 GB,2019-02-07 7:02,NSW NSP Games
Angels of Death [0100AE000AEBC000][v0].nsp,772.22 MB,2019-01-11 11:01,NSW NSP Games
Angels of Death [v0].nsp.zip,772.41 MB,2019-01-11 12:01,NSW NSP Games
Anima Gate of Memories - Arcane Edition [010033F00B3FA000][v0].nsp,6.13 GB,2019-01-11 11:01,NSW NSP Games
Anima Gate of Memories - The Nameless Chronicles [01007A400B3F8000][v0].nsp,3.37 GB,2019-01-11 11:01,NSW NSP Games
Anima Gate of Memories [0100706005B6A000][v0].nsp,4.57 GB,2019-01-11 11:01,NSW NSP Games
Animal Hunter Z [010035500CA0E000][v0].nsp,508.88 MB,2019-01-11 11:01,NSW NSP Games
Animal Rivals Nintendo Switch Edition [010065B009B3A000][v0].nsp,2.11 GB,2019-01-11 11:01,NSW NSP Games
Animal Super Squad [0100EFE009424000][v0].nsp,267.88 MB,2019-01-11 11:01,NSW NSP Games
Animated Jigsaws Beautiful Japanese Scenery [01003C200A232000][v0].nsp,418.22 MB,2019-01-11 11:01,NSW NSP Games
Animated Jigsaws Japanese Women [01002BB00C01E000][v0].nsp,330.64 MB,2019-01-11 11:01,NSW NSP Games
Animated Jigsaws Wild Animals [01004A200C236000][v0].nsp,409.49 MB,2019-01-19 12:01,NSW NSP Games
Ankh Guardian - Treasure of the Demon's Temple [010055500CCD2000][v0].nsp,407.08 MB,2019-07-06 20:07,NSW NSP Games
Anode [01009E600D78C000][v0].nsp,234.04 MB,2019-08-21 19:08,NSW NSP Games
Anodyne eSHOP [v0].nsp,76.72 MB,2019-03-01 19:03,NSW NSP Games
Anodyne eSHOP [v0].nsp,76.72 MB,2019-03-01 10:03,NSW NSP Games
Another Lost Phone Laura's Story.nsp.zip,98.47 MB,2019-01-11 12:01,NSW NSP Games
Another Sight [01001A900D312000][v0].nsp,3.04 GB,2019-07-01 13:07,NSW NSP Games
Another World [01003C300AAAE000][v0].nsp,162.50 MB,2019-01-11 11:01,NSW NSP Games
Antiquia Lost [0100016007154000][v0].nsp,312.78 MB,2019-01-11 11:01,NSW NSP Games
Ape Out Eshop [01005B100C268000][v0].nsp,1.84 GB,2019-03-02 10:03,NSW NSP Games
Aperion Cyberstorm [010051C003A08000][v0].nsp,417.11 MB,2019-01-11 11:01,NSW NSP Games
Apocalipsis Wormwood Edition [01008FC00C5BC000][v0].nsp,3.67 GB,2019-01-15 17:01,NSW NSP Games
Apocryph eSHOP [010045D009EFC000][v0].nsp,1.27 GB,2019-03-23 15:03,NSW NSP Games
Aqua Moto Racing Utopia [0100D0D00516A000][v0].nsp,5.45 GB,2019-01-11 11:01,NSW NSP Games
Aqua TV [01008ED00B916000][v0].nsp,213.64 MB,2019-01-11 11:01,NSW NSP Games
Arcade Archives 10-Yard Fight [0100BE80097FA000][v0].nsp,71.39 MB,2019-01-11 11:01,NSW NSP Games
Arcade Archives ALPHA MISSION [01005DD00BE08000][v0].nsp,68.91 MB,2019-01-11 11:01,NSW NSP Games
